URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,Country (name),UPRN,SiteName,QABName (code),QABName (name),EstablishmentAccredited (code),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate
150197,936,Surrey,7065,Philip Southcote School,44,Academy special converter,10,Academies,1,Open,10,Academy Converter,01-12-2023,99,,,0,Not applicable,11,19,1,No boarders,Not applicable,1,Has a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,196,0,Not applicable,15-01-2026,279,173,106,43.40,3,Supported by a multi-academy trust,2386,BOURNE EDUCATION TRUST,Linked to a sponsor,Bourne Education Trust,Not applicable,,,10093471,,,03-07-2026,Addlestone Moor,,,Addlestone,Surrey,KT15 2QH,http://www.philipsouthcoteschool.co.uk/,01932562326,Mr,Lee,Jerwood,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,HI - Hearing Impairment,"SLCN - Speech, language and Communication",PD - Physical Disability,MLD - Moderate Learning Difficulty,,,,,,,,,,Resourced provision,8,10,,,J,South East,E07000212,Runnymede,E05012889,Chertsey Riverside,E14001456,Runnymede and Weybridge,UN1,Urban: Nearer to a major town or city,E10000030,505113,165814,Runnymede 007,Runnymede 007E,Not applicable,,,,,999,,,,100062145933,,0,Not applicable,0,Not applicable,,,E02006399,E01030651,96,
150224,313,Hounslow,2049,Hounslow Heath School,01,Community school,4,Local authority maintained schools,1,Open,01,Result of Amalgamation,01-01-2024,99,,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,,9999,,9,,1218,1,Has Special Classes,15-01-2026,1178,613,565,15.60,0,Not applicable,,,Not applicable,,Not under a federation,,,10095301,,,03-07-2026,Martindale Road,,,Hounslow,,TW4 7HE,https://www.hounslowheathschool.com,02085701332,Mrs,Ritu,Aulakh,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,PD - Physical Disability,MLD - Moderate Learning Difficulty,,,,,,,,,,,,Resourced provision and SEN unit,9,10,6,10,H,London,E09000018,Hounslow,E05013624,Hounslow West,E14001236,Feltham and Heston,UN1,Urban: Nearer to a major town or city,E09000018,512216,175599,Hounslow 016,Hounslow 016C,,,,,,999,,,United Kingdom,200003967214,,0,Not applicable,0,Not applicable,,,E02000541,E01002660,172,
150312,313,Hounslow,6011,Tarbiyyah Secondary School for Boys,11,Other independent school,3,Independent schools,1,Open,06,New Provision,04-01-2024,99,,,0,Not applicable,11,16,1,No boarders,No Nursery Classes,2,Does not have a sixth form,1,Boys,99,,Islam,0000,Not applicable,9,,70,0,Not applicable,15-01-2026,69,69,0,,0,Not applicable,,,Not applicable,,Not applicable,,,,,,03-07-2026,32 New Heston Road,,,Hounslow,,TW5 0LJ,,02037198697,Mr,Hardeep,Sandhar,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not approved,,,,,,,,,,,,,,,,,,,H,London,E09000018,Hounslow,E05013617,Heston Central,E14001236,Feltham and Heston,UN1,Urban: Nearer to a major town or city,E09000018,512903,177505,Hounslow 004,Hounslow 004A,Ofsted,0,2,,Heathrow Community Initiative,999,,,United Kingdom,10095886145,,0,Not applicable,0,Not applicable,,,E02000529,E01002620,,
150346,936,Surrey,2302,Hurst Green Infant School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-04-2024,99,,,2,Primary,3,7,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,90,2,No Special Classes,15-01-2026,100,48,52,34.80,3,Supported by a multi-academy trust,16675,TANDRIDGE LEARNING TRUST,Linked to a sponsor,Tandridge Learning Trust,Not applicable,,,10093908,,,03-07-2026,Wolfs Wood,Hurst Green,,Oxted,Surrey,RH8 0HJ,www.hursttlt.co.uk,01883712171,Mrs,Sarah,George,Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,J,South East,E07000215,Tandridge,E05015894,Oxted South,E14001215,East Surrey,UN1,Urban: Nearer to a major town or city,E10000030,540276,151404,Tandridge 007,Tandridge 007A,Not applicable,,,,,999,,,,100062498960,,0,Not applicable,0,Not applicable,,,E02006434,E01030840,31,
150347,936,Surrey,3054,Walsh CofE Junior School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-01-2024,99,,,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,02,Church of England,Does not apply,CE17,Diocese of Guildford,0,Not applicable,256,1,Has Special Classes,15-01-2026,223,103,120,31.80,3,Supported by a multi-academy trust,3201,THE GOOD SHEPHERD TRUST,Linked to a sponsor,The Good Shepherd Trust,Not applicable,,,10093907,,,03-07-2026,Ash Street,,,Ash,Surrey,GU12 6LT,https://www.walshschools.uk/,01252329525,Mr,Pete,Bailey,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,MLD - Moderate Learning Difficulty,,,,,,,,,,,,,SEN unit,,,14,14,J,South East,E07000209,Guildford,E05014944,Ash South,E14001249,Godalming and Ash,UN1,Urban: Nearer to a major town or city,E10000030,488979,150285,Guildford 014,Guildford 014D,Not applicable,,,,,999,,,,100062669132,,0,Not applicable,0,Not applicable,,,E02006357,E01030425,71,
150368,936,Surrey,2063,Cranleigh Church of England Primary School,28,Academy sponsor led,10,Academies,1,Open,06,New Provision,01-03-2024,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,02,Church of England,Church of England,CE17,Diocese of Guildford,0,Not applicable,330,2,No Special Classes,15-01-2026,182,87,95,25.80,3,Supported by a multi-academy trust,3201,THE GOOD SHEPHERD TRUST,Linked to a sponsor,The Good Shepherd Trust,Not applicable,,,10093889,,,03-07-2026,Parsonage Road,Cranleigh,,Guildford,Surrey,GU6 7AN,https://www.cranleighprimary.surrey.sch.uk/,01483273286,Headteacher,Susan,Pietrzak,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,J,South East,E07000216,Waverley,E05015149,Cranleigh East,E14001249,Godalming and Ash,UN1,Urban: Nearer to a major town or city,E10000030,505646,139372,Waverley 013,Waverley 013C,,,,,,999,,,United Kingdom,200001533547,,0,Not applicable,0,Not applicable,,,E02006451,E01030872,47,
150402,938,West Sussex,3349,"St Robert Southwell Catholic Primary School, Horsham",34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-05-2024,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,03,Roman Catholic,Does not apply,RC02,Diocese of Arundel and Brighton,0,Not applicable,210,2,No Special Classes,15-01-2026,201,109,92,10.40,3,Supported by a multi-academy trust,16631,BOSCO CATHOLIC EDUCATION TRUST,Linked to a sponsor,Bosco Catholic Education Trust,Not applicable,,,10093866,,,03-07-2026,Lambs Farm Road,Roffey,,Horsham,West Sussex,RH12 4LP,www.strobertsouthwellhorsham.co.uk,01403252357,Miss,Helen,Connor,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011825,Roffey North,E14001294,Horsham,UN1,Urban: Nearer to a major town or city,E10000032,519427,132597,Horsham 002,Horsham 002G,Not applicable,,,,,999,,,,200004783191,,0,Not applicable,0,Not applicable,,,E02006589,E01031666,21,
150418,850,Hampshire,2022,Bordon Infant School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-12-2024,99,,,2,Primary,4,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,2,No Special Classes,15-01-2026,266,138,128,15.00,3,Supported by a multi-academy trust,5153,UNIVERSITY OF CHICHESTER (MULTI) ACADEMY TRUST,Linked to a sponsor,University of Chichester (Multi) Academy Trust,Not applicable,,,10094113,,,03-07-2026,Budds Lane,,,Bordon,Hampshire,GU35 0JB,https://bordoninfant.chimat.uk,01420472358,Mr,Matthew,Greenhalgh,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000085,East Hampshire,E05012318,Whitehill Chase,E14001234,Farnham and Bordon,UN1,Urban: Nearer to a major town or city,E10000014,479462,135797,East Hampshire 004,East Hampshire 004C,Not applicable,,,,,917,Pre LGR (1997) Hampshire,,,100062347128,,0,Not applicable,0,Not applicable,,,E02004700,E01022639,40,
150437,936,Surrey,4162,Glebelands School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-04-2024,99,,,4,Secondary,11,16,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,4,Non-selective,900,2,No Special Classes,15-01-2026,762,400,362,13.70,3,Supported by a multi-academy trust,17054,LEARNING PARTNERS ACADEMY TRUST,Linked to a sponsor,LEARNING PARTNERS ACADEMY TRUST,Not applicable,,,10093980,,,03-07-2026,Parsonage Road,,,Cranleigh,Surrey,GU6 7AN,http://www.glebelands.surrey.sch.uk,01483542400,Mr,Russell,Mitchell,Head of School,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000216,Waverley,E05015149,Cranleigh East,E14001249,Godalming and Ash,UN1,Urban: Nearer to a major town or city,E10000030,505866,139356,Waverley 013,Waverley 013C,Not applicable,,,,,999,,,,100062350642,,0,Not applicable,0,Not applicable,,,E02006451,E01030872,104,
150588,936,Surrey,3002,Walsh CofE Infant School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-01-2024,99,,,2,Primary,5,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,02,Church of England,Does not apply,CE17,Diocese of Guildford,0,Not applicable,180,2,No Special Classes,15-01-2026,169,96,73,20.10,3,Supported by a multi-academy trust,3201,THE GOOD SHEPHERD TRUST,Linked to a sponsor,The Good Shepherd Trust,Not applicable,,,10094340,,,03-07-2026,Ash Street,,,Ash,Surrey,GU12 6LT,https://www.walshschools.uk/,01252321426,Mr,Pete,Bailey,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000209,Guildford,E05014944,Ash South,E14001249,Godalming and Ash,UN1,Urban: Nearer to a major town or city,E10000030,488979,150285,Guildford 014,Guildford 014D,Not applicable,,,,,999,,,,10007048941,,0,Not applicable,0,Not applicable,,,E02006357,E01030425,34,
150589,936,Surrey,3016,St Martin's CofE Primary School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-04-2024,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,02,Church of England,Does not apply,CE17,Diocese of Guildford,0,Not applicable,375,2,No Special Classes,15-01-2026,364,187,177,14.80,3,Supported by a multi-academy trust,16993,THE ALLIANCE MULTI-ACADEMY TRUST,-,,Not applicable,,,10094528,,,03-07-2026,Ranmore Road,,,Dorking,Surrey,RH4 1HW,http://www.stmartins-primary.surrey.sch.uk,01306883474,Mr,Christopher,Tuckett,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000210,Mole Valley,E05015347,Dorking North,E14001201,Dorking and Horley,UN1,Urban: Nearer to a major town or city,E10000030,516067,149970,Mole Valley 009,Mole Valley 009C,Not applicable,,,,,999,,,,100062494165,,0,Not applicable,0,Not applicable,,,E02006370,E01030534,54,
150590,936,Surrey,3044,Powell Corderoy Primary School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-04-2024,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,06,None,Does not apply,0000,Not applicable,0,Not applicable,210,2,No Special Classes,15-01-2026,196,102,94,6.60,3,Supported by a multi-academy trust,16993,THE ALLIANCE MULTI-ACADEMY TRUST,-,,Not applicable,,,10094527,,,03-07-2026,Longfield Road,,,Dorking,Surrey,RH4 3DF,www.powellcorderoy.co.uk/,01306883373,Mr,Richard,Darke,Co-Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000210,Mole Valley,E05015347,Dorking North,E14001201,Dorking and Horley,UN1,Urban: Nearer to a major town or city,E10000030,515703,148686,Mole Valley 010,Mole Valley 010A,Not applicable,,,,,999,,,,100062495030,,0,Not applicable,0,Not applicable,,,E02006371,E01030535,13,
150591,936,Surrey,3381,Puttenham CofE Infant School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-05-2024,99,,,2,Primary,5,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,02,Church of England,Does not apply,CE17,Diocese of Guildford,0,Not applicable,90,2,No Special Classes,15-01-2026,82,47,35,1.20,3,Supported by a multi-academy trust,3201,THE GOOD SHEPHERD TRUST,Linked to a sponsor,The Good Shepherd Trust,Not applicable,,,10094526,,,03-07-2026,School Lane,Puttenham,,Guildford,Surrey,GU3 1AS,www.puttenhamschool.co.uk/,01483810317,Miss,Anna,De Filippis,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000209,Guildford,E05014955,Pilgrims,E14001249,Godalming and Ash,RSN1,Smaller rural: Nearer to a major town or city,E10000030,493073,147925,Guildford 017,Guildford 017B,Not applicable,,,,,999,,,,100062341733,,0,Not applicable,0,Not applicable,,,E02006360,E01030472,1,
150653,936,Surrey,5210,Burstow Primary School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-05-2024,99,,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,06,None,Does not apply,0000,Not applicable,0,Not applicable,446,2,No Special Classes,15-01-2026,385,202,183,22.00,3,Supported by a multi-academy trust,16745,EVERYCHILD PARTNERSHIP TRUST,-,,Not applicable,,,10094470,,,03-07-2026,Wheelers Lane,Smallfield,,Horley,Surrey,RH6 9PT,www.burstowschool.org,01342842010,Mr,Philip,Tree,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000215,Tandridge,E05015886,"Burstow, Horne & Outwood",E14001215,East Surrey,RLN1,Larger rural: Nearer to a major town or city,E10000030,531761,143141,Tandridge 011,Tandridge 011D,Not applicable,,,,,999,,,,100062608062,,0,Not applicable,0,Not applicable,,,E02006438,E01030819,79,
150678,936,Surrey,2008,Kingswood Primary School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-09-2024,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210,2,No Special Classes,15-01-2026,170,93,77,17.60,3,Supported by a multi-academy trust,16862,GREENSAND MULTI ACADEMY TRUST,-,,Not applicable,,,10094718,,,03-07-2026,Buckland Road,Lower Kingswood,,Tadworth,Surrey,KT20 7EA,http://www.kingswood.surrey.sch.uk,01737832135,Mrs,Martinet,Pretorius,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000211,Reigate and Banstead,E05012879,"Lower Kingswood, Tadworth & Walton",E14001442,Reigate,UN1,Urban: Nearer to a major town or city,E10000030,524784,153499,Reigate and Banstead 007,Reigate and Banstead 007B,Not applicable,,,,,999,,,,68105712,,0,Not applicable,0,Not applicable,,,E02006381,E01030590,30,
150679,936,Surrey,2951,Epsom Downs Community School & Early Years Centres,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-06-2025,99,,,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,472,0,Not applicable,15-01-2026,417,218,199,36.20,3,Supported by a multi-academy trust,16862,GREENSAND MULTI ACADEMY TRUST,-,,Not applicable,,,10094719,,,03-07-2026,St Leonard's Road,,,Epsom Downs,Surrey,KT18 5RJ,www.epsomdowns.surrey.sch.uk/,01737354313,Ms,Anya,Salisbury,Head,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,SEN unit,,,14,14,J,South East,E07000211,Reigate and Banstead,E05012886,Tattenham Corner & Preston,E14001442,Reigate,UN1,Urban: Nearer to a major town or city,E10000030,523263,157747,Reigate and Banstead 005,Reigate and Banstead 005C,Not applicable,,,,,999,,,,68164220,,0,Not applicable,0,Not applicable,,,E02006379,E01030640,140,
150703,938,West Sussex,2067,Rusper Primary School,28,Academy sponsor led,10,Academies,1,Open,06,New Provision,01-03-2025,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,105,2,No Special Classes,15-01-2026,93,51,42,18.30,3,Supported by a multi-academy trust,2368,BOHUNT EDUCATION TRUST,Linked to a sponsor,Bohunt Education Trust,Not applicable,,,10094737,,,03-07-2026,Rusper,,,Horsham,West Sussex,RH12 4PR,,01293871272,Mrs,Lisa,Wright,Headteacher,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011815,Colgate & Rusper,E14001294,Horsham,RSN1,Smaller rural: Nearer to a major town or city,E10000032,520500,137156,Horsham 001,Horsham 001E,,,,,,999,,,United Kingdom,200004795373,,0,Not applicable,0,Not applicable,,,E02006588,E01035330,17,
150705,938,West Sussex,2074,Billingshurst Primary Academy,28,Academy sponsor led,10,Academies,1,Open,06,New Provision,01-06-2024,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,06,None,None,0000,Not applicable,4,Non-selective,630,2,No Special Classes,15-01-2026,596,303,293,12.90,3,Supported by a multi-academy trust,5214,SUSSEX LEARNING TRUST,Linked to a sponsor,Sussex Learning Trust,Not applicable,,,10094739,,,03-07-2026,Upper Station Road,,,Billingshurst,West Sussex,RH14 9RE,https://www.billingshurstprimary.org.uk/web,01403782789,Ms,Marion,Ley,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000227,Horsham,E05011812,Billingshurst,E14001294,Horsham,RLN1,Larger rural: Nearer to a major town or city,E10000032,508590,125509,Horsham 010,Horsham 010B,,,,,,999,,,United Kingdom,10013791009,,0,Not applicable,0,Not applicable,,,E02006597,E01031612,77,
150711,938,West Sussex,2078,Oak Tree Primary School,28,Academy sponsor led,10,Academies,1,Open,06,New Provision,01-01-2025,99,,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,None,0000,Not applicable,0,Not applicable,630,2,No Special Classes,15-01-2026,408,206,202,18.40,3,Supported by a multi-academy trust,2969,DURRINGTON MULTI ACADEMY TRUST,Linked to a sponsor,Durrington Multi Academy Trust,Not applicable,,,10094743,,,03-07-2026,Junction Road,,,Burgess Hill,West Sussex,RH15 0PZ,https://oaktreeprimary.co.uk/,01444233368,Mr,John,Smith,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000228,Mid Sussex,E05014714,Burgess Hill St Andrews,E14001366,Mid Sussex,UN1,Urban: Nearer to a major town or city,E10000032,532311,119967,Mid Sussex 013,Mid Sussex 013D,,,,,,999,,,United Kingdom,100062482689,,0,Not applicable,0,Not applicable,,,E02006616,E01031712,75,
150721,867,Bracknell Forest,2113,Uplands Primary School and Nursery,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-06-2024,99,,,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,242,2,No Special Classes,15-01-2026,248,120,128,5.10,3,Supported by a multi-academy trust,16732,THE KEYS ACADEMY TRUST,Linked to a sponsor,The Keys Academy Trust,Not applicable,,,10094746,,,03-07-2026,Albion Road,,,Sandhurst,Berkshire,GU47 9BP,www.uplandsberkshire.org,01252873069,Mrs,Lee,Parsons,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E06000036,Bracknell Forest,E05015573,Sandhurst,E14001117,Bracknell,UN1,Urban: Nearer to a major town or city,E06000036,483774,161658,Bracknell Forest 014,Bracknell Forest 014B,Not applicable,,,,,903,Pre LGR (1998) Berkshire,2113,,200000331505,,0,Not applicable,0,Not applicable,,,E02003365,E01016194,11,
150724,936,Surrey,2140,Horley Infant School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-06-2024,99,,,2,Primary,4,7,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,00,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,270,2,No Special Classes,15-01-2026,267,128,139,12.00,3,Supported by a multi-academy trust,16862,GREENSAND MULTI ACADEMY TRUST,-,,Not applicable,,,10094749,,,03-07-2026,Lumley Road,,,Horley,Surrey,RH6 7JF,www.horley.surrey.sch.uk/,01293782263,Mr,Jason,Walters,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000211,Reigate and Banstead,E05012876,Horley Central & South,E14001201,Dorking and Horley,UN1,Urban: Nearer to a major town or city,E10000030,528461,143295,Reigate and Banstead 018,Reigate and Banstead 018F,Not applicable,,,,,999,,,,100062497033,,0,Not applicable,0,Not applicable,,,E02006392,E01035361,32,
150725,936,Surrey,5207,Yattendon School,34,Academy converter,10,Academies,1,Open,10,Academy Converter,01-06-2024,99,,,2,Primary,7,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,06,None,Does not apply,0000,Not applicable,0,Not applicable,390,2,No Special Classes,15-01-2026,388,202,186,15.20,3,Supported by a multi-academy trust,16862,GREENSAND MULTI ACADEMY TRUST,-,,Not applicable,,,10094750,,,03-07-2026,Oakwood Road,,,Horley,Surrey,RH6 7BZ,www.yattendon.org,01293734100,Mr,Guy,Perkins,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000211,Reigate and Banstead,E05012876,Horley Central & South,E14001201,Dorking and Horley,UN1,Urban: Nearer to a major town or city,E10000030,528435,143590,Reigate and Banstead 018,Reigate and Banstead 018B,Not applicable,,,,,999,,,,68127871,,0,Not applicable,0,Not applicable,,,E02006392,E01030576,59,
150760,936,Surrey,6072,"Elysian, West Horsley",10,Other independent special school,5,Special schools,1,Open,06,New Provision,21-06-2024,99,,,0,Not applicable,11,17,1,No boarders,Not applicable,0,Not applicable,3,Mixed,99,,None,0000,Not applicable,9,,50,0,Not applicable,15-01-2026,15,5,10,,0,Not applicable,,,Not applicable,,Not applicable,,,,,,03-07-2026,"Hillside Farm, Shere Road",West Horsley,"Elysian West Horsley, Shere Rd, Leatherhead, Surrey Kt24 6er",Leatherhead,Surrey,KT24 6ER,https://elysianuk.org/,07888303748,Ms,Karen,Keane,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not approved,,,,,,,,,,,,,,,,,,,J,South East,E07000209,Guildford,E05014950,Clandon & Horsley,E14001258,Guildford,UN1,Urban: Nearer to a major town or city,E10000030,508395,150922,Guildford 003,Guildford 003A,Ofsted,15,,,Elysian Animal Assisted Interventions Ltd,999,,,United Kingdom,100061410791,,0,Not applicable,0,Not applicable,,,E02006346,E01030441,,
150773,936,Surrey,7008,Hopescourt School,36,Free schools special,11,Free Schools,1,Open,11,Academy Free School,01-09-2024,99,,,0,Not applicable,4,19,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,06,None,None,0000,Not applicable,4,Non-selective,200,0,Not applicable,15-01-2026,96,67,29,35.80,3,Supported by a multi-academy trust,2386,BOURNE EDUCATION TRUST,Linked to a sponsor,Bourne Education Trust,Not applicable,,,10095871,,,03-07-2026,Waterside Drive,,,Walton-on-Thames,,KT12 2FQ,https://www.hopescourt.school/,01932627440,Mrs,Rochelle,Richmond,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,J,South East,E07000207,Elmbridge,E05011086,Walton North,E14001230,Esher and Walton,UN1,Urban: Nearer to a major town or city,E10000030,510864,167387,Elmbridge 004,Elmbridge 004A,,,,,,999,,,United Kingdom,10095343537,,0,Not applicable,0,Not applicable,,,E02006320,E01030361,34,
