propertyRecordId,address,paon,saon,street,locality,town,postcode,district,propertyType,estateId,estate,estateClassification,estateType,estateRuleId,estateRegistryVersion,estateEvidenceStatus,estateReviewStatus,price,date,market,category
property:FAIRFIELD LODGE HARDWICK CLOSE OXSHOTT LEATHERHEAD KT22 0HZ|KT220HZ,"FAIRFIELD LODGE, HARDWICK CLOSE, OXSHOTT, LEATHERHEAD, KT22 0HZ",FAIRFIELD LODGE,,HARDWICK CLOSE,OXSHOTT,LEATHERHEAD,KT22 0HZ,Elmbridge,Detached,knott-park,Knott Park,A,traditional_private_estate,pe:knott-park:hardwick-close:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,2050000,2023-04-28,elmbridge-prime,A
property:VANN CROFT FRIDAY STREET OCKLEY DORKING RH5 5TE|RH55TE,"VANN CROFT, FRIDAY STREET, OCKLEY, DORKING, RH5 5TE",VANN CROFT,,FRIDAY STREET,OCKLEY,DORKING,RH5 5TE,Mole Valley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2000000,2023-04-28,mole-valley,A
property:1 HIGH GARTH ESHER KT10 9DN|KT109DN,"1, HIGH GARTH, ESHER, KT10 9DN",1,,HIGH GARTH,,ESHER,KT10 9DN,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2300000,2023-04-27,elmbridge-prime,A
property:KINGSWOOD HOUSE LINDEN ROAD WEYBRIDGE KT13 0QW|KT130QW,"KINGSWOOD HOUSE, LINDEN ROAD, WEYBRIDGE, KT13 0QW",KINGSWOOD HOUSE,,LINDEN ROAD,,WEYBRIDGE,KT13 0QW,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:linden-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,6350000,2023-04-24,elmbridge-prime,A
property:ORCHARD HOUSE THE WAY REIGATE RH2 0LB|RH20LB,"ORCHARD HOUSE, THE WAY, REIGATE, RH2 0LB",ORCHARD HOUSE,,THE WAY,,REIGATE,RH2 0LB,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3547000,2023-04-24,reigate-banstead,A
property:8 LAMMAS LANE ESHER KT10 8NY|KT108NY,"8, LAMMAS LANE, ESHER, KT10 8NY",8,,LAMMAS LANE,,ESHER,KT10 8NY,Elmbridge,Terraced,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2235000,2023-04-21,elmbridge-prime,A
property:CAMP END MANOR TOR LANE WEYBRIDGE KT13 0NS|KT130NS,"CAMP END MANOR, TOR LANE, WEYBRIDGE, KT13 0NS",CAMP END MANOR,,TOR LANE,,WEYBRIDGE,KT13 0NS,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:tor-lane:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,11100000,2023-04-20,elmbridge-prime,A
property:LEYSCROFT SANDY LANE KINGSWOOD TADWORTH KT20 6ND|KT206ND,"LEYSCROFT, SANDY LANE, KINGSWOOD, TADWORTH, KT20 6ND",LEYSCROFT,,SANDY LANE,KINGSWOOD,TADWORTH,KT20 6ND,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2600000,2023-04-20,reigate-banstead,A
property:14 WOODSIDE ROAD COBHAM KT11 2QR|KT112QR,"14, WOODSIDE ROAD, COBHAM, KT11 2QR",14,,WOODSIDE ROAD,,COBHAM,KT11 2QR,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2325000,2023-04-19,elmbridge-prime,A
property:CONNAUGHT HOUSE 19A EATON PARK COBHAM KT11 2JF|KT112JF,"CONNAUGHT HOUSE, 19A, EATON PARK, COBHAM, KT11 2JF","CONNAUGHT HOUSE, 19A",,EATON PARK,,COBHAM,KT11 2JF,Elmbridge,Detached,eaton-park,Eaton Park,A,traditional_private_estate,pe:eaton-park:eaton-park:whole,surrey-private-estates-2026-07-19-corrected-4,verified,ready,4950000,2023-04-17,elmbridge-prime,A
property:WESTWELL 188 ASHLEY PARK AVENUE WALTON ON THAMES KT12 1ET|KT121ET,"WESTWELL, 188, ASHLEY PARK AVENUE, WALTON-ON-THAMES, KT12 1ET","WESTWELL, 188",,ASHLEY PARK AVENUE,,WALTON-ON-THAMES,KT12 1ET,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3025000,2023-04-17,elmbridge-prime,A
property:MAPLE HOUSE 1A THE SPINNEY OXSHOTT LEATHERHEAD KT22 0PL|KT220PL,"MAPLE HOUSE, 1A, THE SPINNEY, OXSHOTT, LEATHERHEAD, KT22 0PL","MAPLE HOUSE, 1A",,THE SPINNEY,OXSHOTT,LEATHERHEAD,KT22 0PL,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,4100000,2023-04-16,elmbridge-prime,A
property:MULBERRY HOUSE WARRENERS LANE WEYBRIDGE KT13 0LQ|KT130LQ,"MULBERRY HOUSE, WARRENERS LANE, WEYBRIDGE, KT13 0LQ",MULBERRY HOUSE,,WARRENERS LANE,,WEYBRIDGE,KT13 0LQ,Elmbridge,Detached,st-georges-hill,St George's Hill,A,traditional_private_estate,pe:st-georges-hill:warreners-lane:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,8475000,2023-04-14,elmbridge-prime,A
property:16 BROOMFIELD RIDE OXSHOTT LEATHERHEAD KT22 0LW|KT220LW,"16, BROOMFIELD RIDE, OXSHOTT, LEATHERHEAD, KT22 0LW",16,,BROOMFIELD RIDE,OXSHOTT,LEATHERHEAD,KT22 0LW,Elmbridge,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,5100000,2023-04-14,elmbridge-prime,B
property:THE WHITE HOUSE 27 CHURCH ROAD MILFORD GODALMING GU8 5JB|GU85JB,"THE WHITE HOUSE, 27, CHURCH ROAD, MILFORD, GODALMING, GU8 5JB","THE WHITE HOUSE, 27",,CHURCH ROAD,MILFORD,GODALMING,GU8 5JB,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2500000,2023-04-14,waverley-south-surrey,A
property:12 CLIFFORD MANOR ROAD GUILDFORD GU4 8AG|GU48AG,"12, CLIFFORD MANOR ROAD, GUILDFORD, GU4 8AG",12,,CLIFFORD MANOR ROAD,,GUILDFORD,GU4 8AG,Guildford,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2460000,2023-04-14,guildford-district,A
property:SEMPLES LODGE MEADOW ROAD VIRGINIA WATER GU25 4NH|GU254NH,"SEMPLES LODGE, MEADOW ROAD, VIRGINIA WATER, GU25 4NH",SEMPLES LODGE,,MEADOW ROAD,,VIRGINIA WATER,GU25 4NH,Runnymede,Detached,wentworth-estate,Wentworth Estate,A,traditional_private_estate,pe:wentworth-estate:meadow-road:whole,surrey-private-estates-2026-07-19-corrected-4,verified,partial_ready,2205000,2023-04-14,runnymede-wentworth,A
property:THE MALT HOUSE HAMMONDSWOOD ROAD FRENSHAM FARNHAM GU10 3EH|GU103EH,"THE MALT HOUSE, HAMMONDSWOOD ROAD, FRENSHAM, FARNHAM, GU10 3EH",THE MALT HOUSE,,HAMMONDSWOOD ROAD,FRENSHAM,FARNHAM,GU10 3EH,Waverley,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,3000000,2023-04-05,waverley-south-surrey,A
property:JUNITA WATERHOUSE LANE KINGSWOOD TADWORTH KT20 6HU|KT206HU,"JUNITA, WATERHOUSE LANE, KINGSWOOD, TADWORTH, KT20 6HU",JUNITA,,WATERHOUSE LANE,KINGSWOOD,TADWORTH,KT20 6HU,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2750000,2023-04-05,reigate-banstead,A
property:SUNBEAMS CHEQUERS LANE WALTON ON THE HILL TADWORTH KT20 7QB|KT207QB,"SUNBEAMS, CHEQUERS LANE, WALTON ON THE HILL, TADWORTH, KT20 7QB",SUNBEAMS,,CHEQUERS LANE,WALTON ON THE HILL,TADWORTH,KT20 7QB,Reigate and Banstead,Detached,,,,,,surrey-private-estates-2026-07-19-corrected-4,,,2125000,2023-04-05,reigate-banstead,A
